URI,name,text
<http://dbpedia.org/resource/Roberto_Mart%C3%ADnez>,Roberto Mart%C3%ADnez,roberto martnez montoli born 13 july 1973 is a spanish former professional footballer who is the current manager of evertonmartnez played as a defensive midfielder and began his career at real zaragoza with whom he won the copa del rey he spent a year at lower league side cf balaguer before signing for english third division side wigan athletic becoming part of a small spanish contingent at the club known as the three amigos alongside jess seba and isidro daz he was a regular first team player for six years the longest period of time he spent at one club during his time there he won the football league third division and the football league trophy he moved to scottish side motherwell then to walsall before joining swansea city in 2003 he became club captain and helped the team to win promotion to league one in 2005 he moved to chester city in 2006 and was again chosen to be captainin 2007 he retired from playing to become manager of swansea city leading them to promotion from league one as champions he then joined wigan athletic in 2009 helping the club avoid relegation for three consecutive seasons in his fourth season wigan were relegated but won the fa cup for the first time in the clubs history at the end of the 201213 season he left to become the manager at everton
<http://dbpedia.org/resource/Timothy_Bates>,Timothy Bates,timothy c bates born 1963 is a professor of individual differences in psychology at the university of edinburgh scotland his current research interests include the genetics of reading and spelling intelligence and personalityhe is currently a member of the editorial board of the journal intelligence his phd was completed in 1994 at the university of auckland new zealand and integrated the eysenckian dimensional model of psychosis with the categorical model of schizotypy proposed by paul e meehl using measures of personality creativity evoked potentials and smooth pursuit eye movement dysfunction he has since conducted research in individual differences genetics and cognitive neuropsychology publishing nearly 100 peerreviewed scientific journal articleshis principal academic achievements include demonstrating the existence of two separate forms of dyslexia underpinned by distinct genes and subsequently demonstrating that the genes associated with dyslexia are also linked to normal variation in reading ability this work evolved into searches for specific genes involved in reading and languagein positive psychology he showed along with alexander weiss and michelle luciano that the genes for happiness are genes for personality suggesting that a general factor of genetic wellbeing and specific genetic influences from the five factor model traits of extraversion neuroticismstability and conscientiousness completely explain the heritable component of differences in happinesswith caroline rae bates showed that creatine supports cognitive function finding that creatine supplements in vegans substantially increased their cognitive ability and working memory by comparison with placebo this supported a literal mental energy model of intelligence first postulated by charles spearman in his work with the late hans eysenck and subsequently with con stough on the role of basic information processing speed in human intelligence he used erp complexity measures to argue for a modification to the hendrickson and hendrickson error or string theory so named as pins and string were used to make the measurements of eeg output model of ability to include a controlling role of attention in related work on reaction time he introduced a novel modification to the jensen box again controlling the role of attention in this task and suggesting that under these conditions intelligence is as arthur jensen proposed related to the rate of information processing defined in fitts law and using claude shannons information metricsat edinburgh university he has investigated individual differences in intelligence memory and the genetic and environmental influences on social behaviours such as coalition affiliation politics and altruism working with ian deary paul irwing and geoff derr he reported evidence for substantial gender differences in intelligence in the form of much larger variance amongst males than amongst females with more boys and men scoring in both the extreme high range and in the extreme low range
<http://dbpedia.org/resource/Fredrik_Sixten>,Fredrik Sixten,sven fredrik johannes sixten born 21 october 1962 is a swedish composer cathedral organist and conductor sixten was born in skvde sweden he earned his bachelor of arts 1986 at the royal college of music stockholm he studied composition with professor svendavid sandstrm and is now recognized as one of swedens bestknown composers of church music he is published at all major publishing houses in swedenhe was the conductor of gothenburgs boys choir between 1997 and 2001 today he is the cathedral organist of hrnsands cathedral his music is represented on several cd recordings and as a conductor one of his five cds went gold his music has been performed on swedish radio eg his en svensk markuspassion for two choirs chamber orchestra and soloists 2004 the jazz mass was performed 1999 on swedish television among his other compositions are prelude et fugue 1986 triptyk 2004 messa misteriosa 2002 for solo organ string quartet 1985 sonatas for violin and piano and cello and piano 1985 cantata for the st lucia for choir soprano solo and string orchestra 1984 5 hymns for the church of swedens hymnal stabat mater for cello solo and choir ssaa sonata for organ 2006 chaconne for string quartet 2007 and three sacred dances for choir ssaa string quartet and piano 2007 requiem for string orchestra 2 horns and timpani choir and two soloists soprano and bass is also published in an english version
<http://dbpedia.org/resource/Ken_Kelly_(artist)>,Ken Kelly (artist),ken w kelly born 1946 new london connecticut is a fantasy artist over his 30year career he has focused in particular on paintings in the sword and sorcery and heroic fantasy subgenres ken kelly is the nephew of frank frazettas wife eleanor ellie frazetta 19352009 whose maiden name was kelly early in his career he was able to study the paintings of frank frazetta in franks studio however frank never let out his trade secrets in the early 1970s he did a couple of cover paintings for castle of frankenstein magazinehe has depicted conan the barbarian tarzan and the rock groups kiss manowar sleepy hollow and rainbow his work often portrays exotic enchanted locales and primal battlefields he recently developed the album artwork for coheed and cambrias album good apollo im burning star iv volume two no world for tomorrow and a painting of his was used as the cover art for alabama thunderpussys 2007 release open fire in 2012 one of kens paintings was used for the cover of electric magmas 12 vinyl release canadian samurai ii kelly has been a guest at the kiss by monster mini golf course in las vegas nevada doing autograph signings of prints for the classic kiss albums he has drawn cover artwork for
<http://dbpedia.org/resource/Alen_Kozi%C4%87>,Alen Kozi%C4%87,alen kozi born september 27 1976 in belgrade sr serbia sfr yugoslavia is a retired major league soccer playerraised in tampa florida from the age of three he was the son of a professional soccer player refik kozi and mother svetlana he began his career in the youth soccer organization in tampa playing for temple terrace spirit and scoring the winning goal in the 1993 don greer cup youth soccer u17 national championship he went on to play for sv austria salzburg for a trial after his high school graduationhaving received offers from various universities kozi returned to the united states and played for florida international university from 1995 to 1999 in his sophomore year he achieved a place in the ncaa division i mens soccer third team allamerican in his junior year in 1997 he reached the first team allamerican in his senior year kozi tore his acl and spent most of the season rehabilitating before being recruited by miami fusions new program project 40 this was a joint venture between major league soccer mls and us soccer aimed at developing young american players by giving them the chance to train with mls clubs and play games at various professional levels he played two seasons with miami fusion before heading to europe to playhe played one season for nk uljanik in pula croatia before moving in 2002 to germany to play for union solingen after several successful seasons he decided to return to the united states to retire and finish his educationkozi currently lives in tampa and runs his own business
<http://dbpedia.org/resource/Angelina_Jolie>,Angelina Jolie,angelina jolie doli johlee born angelina jolie voight june 4 1975 is an american actress director producer writer and humanitarian she has won an academy award two screen actors guild awards and three golden globe awards and has been cited as hollywoods highestpaid actress jolie made her screen debut as a child alongside her father jon voight in lookin to get out 1982 her film career began in earnest a decade later with the lowbudget production cyborg 2 1993 followed by her first leading role in a major film hackers 1995 she starred in the critically acclaimed biographical television films george wallace 1997 and gia 1998 and won an academy award for best supporting actress for her performance in the drama girl interrupted 1999 jolies starring role as the video game heroine lara croft in lara croft tomb raider 2001 established her as a leading hollywood actress she continued her successful actionstar career with mr mrs smith 2005 wanted 2008 and salt 2010 and received critical acclaim for her performances in the dramas a mighty heart 2007 and changeling 2008 which earned her a nomination for an academy award for best actress beginning in the 2010s she expanded her career by directing and producing the wartime dramas in the land of blood and honey 2011 and unbroken 2014 her biggest commercial success came with the disney fantasy maleficent 2014in addition to her film career jolie is noted for her humanitarian efforts for which she has received a jean hersholt humanitarian award and an honorary damehood of the order of st michael and st george dcmg among other honors she promotes various causes including conservation education and antisexual violence and is most noted for her advocacy on behalf of refugees as a special envoy for the united nations high commissioner for refugees unhcr as a public figure jolie has been cited as one of the most influential people in the american entertainment industry as well as the worlds most beautiful woman by various media outlets her personal life is the subject of wide publicity divorced from actors jonny lee miller and billy bob thornton she is now married to actor brad pitt they have six children together three of whom were adopted internationally
<http://dbpedia.org/resource/Vicente_Bot%C3%ADn>,Vicente Bot%C3%ADn,vicente botn is a writer and journalist he was born in burgos spain and studied journalism politics and sociology in universidad complutense de madridvicente botn started in the news media predominately about international politics concentrating on latin america in 1971 he travelled across the entire continent as an onthescene reporter for different broadcast media he was one of the first spanish journalists while in chile to interview president salvador allendein 1972 he reported for the televisin espaola tve on significant events of that time in france united kingdom turkey israel lebanon morocco and zimbabwenevertheless his major works were about latin america in the 60s he made documentaries in nicaragua sandinismo y contra el salvador civil war paraguay coup dtat against alfredo stroessner cuba he enterviewd fidel castro ecuador amazon rainforest haiti first triumph of jean bertrand aristide and brasil guatemala per chile and hondurasin coproduction between televisin espaola and unhcr he film the documentary duro oficio el exilio about the drama of central america refugeeslater he was the director of en portada long running documentary program of tve the most representative episode was el descubrimiento de la lentitud filmed aboard a replica of the santa mara caravel on a voyage made in the same conditions experienced by cristbal coln when he discovered the americas he also continued his news reporting activities from various places in the worldfrom 1999 to 2004 he was the correspondent in buenos aires argentina for televisin espaola he reported on stories throughout south america he made many reports and documentaries about the argentinian crisis caused by the fall of the president fernando de la ra the deaths caused by starvation of the childrem of tucumn the various issues resulting from the trial of the dictator augusto pinochet the problems in bolivia related to the coca crop and the new brazil president luiz inacio lula da silvafrom 2005 to 2008 he was the correspondent in cuba for televisin espaola he was threatened and pressured by the government while reporting which included stories on human rights political opposition groups the health of fidel castro and the possible turn over of government to his brother ral castrohe also did reports for other spanish language media radio and printwhen he finished as a correspondent in cuba he wrote los funerales de castro about the difficult situation of the cubans and ral castro la pulga que cabalg al tigre a comprehensive biography of ral castrovicente botin is a columnist of the spanish newspapers el pas el mundo and others he lectures in spain and the united states about the social economical and political situation of cuba in casa de amrica in madrid and columbia university in new york seton hall in new jersey and also for the united nations invited by the united nations correspondents association
<http://dbpedia.org/resource/Carmen_Magall%C3%B3n>,Carmen Magall%C3%B3n,carmen magallnportols is a phd a physicist and master in philosophy of science by university of zaragoza spain committed with the advancement of women through researching their contributions to two important fields science and peace her thinking is an important reference in the spanish studies of women in science and feminist pacifismin 2011 she was elected president of wilpf spain the spanish section of the womens international league for peace and freedom in september 2013 the martin luther king institute of the polytechnic university of nicaragua upoli in the celebration of its 20th anniversary awarded her the order of peace martin luther king for her outstanding contribution to the development of womens rights the feminist thought and the construction of a culture of peace in the world at the ceremony dr magalln presented the keynote universalize female legacies build a civilizatory rationality steps towards a culture of peacewomen contributions to science and peacethe recovery of the history of women their experiences and their knowledge is a must for building a gender equality in particular it is important to deepen the knowledge of women in science much of the literature on this subject comes from the anglosaxon world this article wants to add the perspective of women scientists in spain through the writings published by carmen magalln
<http://dbpedia.org/resource/David_Marshall_(British_politician)>,David Marshall (British politician),david marshall born 7 may 1941 is a british politician he was a labour member of parliament mp from 1979 to 2008david marshall was educated variously at the larbert high school denny high school woodside senior secondary school and falkirk high schoolhe has been a member of the transport and general workers union since 1960 and a member of the labour party since 1962 he worked in glasgow as a labour party organiser from 1969 before becoming a fulltime councillor he was for three years from 1972 a member of glasgow city council and a member of strathclyde regional council from 1974 until his election to parliamenthe was elected as a labour mp at the 1979 general election for glasgow shettleston following the retirement of myer galpern he represented that constituency from then until the 2005 election at which point he was elected from glasgow east he did not reach the front bench in his long parliamentary career but served on many select committees including chairing both the transport 19871992 and scotland committees 19921997 he was latterly a member of the chairmans panelon 27 june 2008 it was reported that he would stand down due to ill health these reports have also linked his ill health with stress brought on by predictions that his parliamentary expenses were to be investigated on 30 june he was appointed steward and bailiff of the manor of northstead confirming his resignationhe is married with a son and a daughter
<http://dbpedia.org/resource/Eleri_Si%C3%B4n>,Eleri Si%C3%B4n,eleri sin welsh pronunciation leri on born eleri jones in 1971 is a welsh radio and television presenterborn and raised on a farm in neuaddlwyd aberaeron she was educated at ysgol uwchradd aberaeronafter training and working as a singer and parttime presenter of childrens television programmes she started reading welsh at cardiff university she then took a two years break in order to present childrens sports programme cracabant before finishing her degree at cardiff university having played rugby union at both universities and captained cardiff ladies for a year she joined the sports department of bbc radio cymru in 1995 becoming the first woman to report on rugby for the stationafter graduation she worked as a television producer with production company apollo on programmes such as noc noc cn i gymru song for wales and dudley she returned to sports in 1997 as a subproducer and presenter on y clwb rygbi the rugby club she then introduced various series including seven a side rugby world games irish rugby world championship netball and rollerhockey world championships during this period she also presented saturday afternoon sports programme camp lawn grand slam with dylan ebenezer on bbc radio cymru this led to production and presentation work on sky sports on its darts and pool coveragesin then presented a number of nonsports programmes on s4c including talent programme wawffactor s4cs coverage of eisteddfod yr urdd and presented y briodas fawr the big wedding with rhodri owen after becoming part of the posse on jonathan davies s4c friday evening show jonathan she presented her own chatshow cadair fawr eleri sion eleri sions big chair she also presented quiz show 100 o blant a hundred children produced by tinopolis in 2013 and was a prenter on nightly magazine show heno tonight for the same production company for a period in 201213sin currently presents the daily afternoon radio show on bbc radio wales
<http://dbpedia.org/resource/David_Sargent>,David Sargent,david j sargent born 1931 was the president of suffolk university in boston massachusetts from 1989 to 2010sargent is a native of newport new hampshire and graduated from the suffolk university law school magna cum laude in 1954 ranked number one and president of his class he was admitted to the bar in massachusetts and new hampshire that same yearhe returned as an adjunct professor in 1956 and soon became a full professor from 1972 to 1989 sargent directed the law school as dean sargent assumed the university presidency in 1989 the sargent building 1999 which houses suffolk university law school is named after himin its november 17 2008 compensation survey the chronicle of higher education listed sargent as the highest paid college or university president in the united states they mistakenly claimed that sargents compensation in 20062007 totaled 28 million however this was a one time check made to his retirement account sargents compensation is roughly on par with most other college presidents about 400000 per yearas evidenced on page 43 of suffolk universitys 2009 irs form 990 ex university president david j sargent made 832782 in total compensation for 2008 on page 45 of that same irs form the breakdown of the compensation is as follows 463479 in base compensation 89816 in bonus and incentive compensation 47173 in other compensation 211136 in deferred compensation and 21178 in nontaxable benefitson wednesday october 20 2010 an email was sent to the student body of suffolk university announcing the retirement of sargent he was awarded the position of president emeritus due to his extraordinary years of service to suffolk university sargent spent 21 years as the president of the university according to the boston globe the board of trustees for the university forced sargent out with a unanimous vote
<http://dbpedia.org/resource/Ray_Krone>,Ray Krone,ray krone born january 19 1957 is an american who was wrongfully convicted of murder he holds the distinction of being the 100th inmate exonerated from death row since the death sentence was reinstated in 1976krone was born and raised in dover township york county pennsylvania and graduated from dover area high school in 1974he was labeled the snaggletooth killer a feature which has since been corrected and spent 10 years in prison including two years on death row after being found guilty of killing a phoenix arizona bartender in 1991 the woman was found dead in a bar where krone often played darts on april 8 2002 krone left prison after dna evidence proved that he did not murder the victim in 2005 he received a settlement of 14 million from maricopa county and 3 million from the city of phoenixsince krones release he has become an activist working for the abolition of the death penalty and is director of membership and training for witness to innocence in february 2005 he was featured in episodes 13 and 14 of the third season of reality television show extreme makeover his story is detailed in jingle jangle the perfect crime turned inside out written by his cousin jim rix who was instrumental in getting krone out of prison rix speculates that the man now doing time for the crime is in fact also innocent
<http://dbpedia.org/resource/Jean-Luc_Azoulay>,Jean-Luc Azoulay,jeanluc azoulay born 1947 in stif then french algeria is a french television producer he was born in algeria to a sephardic jewish family in 1987 with the club dorothe he developed a new concept for a youth tv show which had great success beginning in the 1980s until 1997 on tf1 one of the most important french tv channels in 1997 tf1 somewhat mysteriously cancelled all its contracts with azoulay production company ab even though ab content was by far the most popular on french tv at the timein the 1990s he created an astonishing number of extremely successful socalled sitcoms including salut les muscles premiers baisers hlne et les garcons le miel et les abelles le philo selon philippe les filles da cote in addition to these he created many others which had lesser success such as le college des coeurs brises un homme a domicile talk show lun contre lautre les garcons de la plage or else un roman photo premieres baisers and its spinoff hlne et les garcons each of about 200 episodes both had several sequels hlne et les garcons in particular was followed by le miracle de lamour and then les vacances de lamour produced on location in the carabian and azoulay has recently revived the series with the same actors now 20 years older in les mysteres de lamour which has so far seen three seasonsazoulays sitcoms are based on both american sitcoms and soap opera though in fact they are a genre in their own right which adds elements from french theatrical farce and the old traditional roman the ab production method called for shooting 4 episodes per week of the many hundreds of episodes produced during the period from the launch of salut les muscles in the late 1980s until the 1997 closedown azoulay is either author or coauthor of most of themjeanluc azoulay is the songwriter for dorothe and hlne also producing all of their shows at the largest venues in france as well as major sites in asiain october 2004 he produced 12 shows at the palais des congrs de paris for the legendary french singer sylvie vartanin 2000 he produced the successful tv series navarro linstit quai n1 along with other prestigious tv series like les liaisons dangereuses and les rois maudits establishing him as one of the top primetime tv producersin october 2007 he adapted baie des flamboyants from the mexican telenovela codigo postal
<http://dbpedia.org/resource/Brian_Doyle_(writer)>,Brian Doyle (writer),brian doyle born 12 august 1935 is a canadian writer whose childrens books have been adapted into both movies and plays many of his stories are drawn from his experiences growing up in ottawa and vicinity for his contribution as a childrens writer he was awarded the prestigious nsk neustadt prize for childrens literature in 2005 and was one of five finalists in 1998 and again in 2008 for the biennial international hans christian andersen award the highest recognition available to creators of childrens booksamong canadas most distinguished authors of middlegrade and youngadult novels brian doyle is acclaimed as an exceptional storyteller as well as a talented writer whose works reflect both insight and sensitivity in depicting the moral dilemmas of young people doyles books take place in both historical and contemporary periods and his sense of humour is considered one of his most appealing features his writings evoke a strong sense of location reflecting urban ottawa and the ottawa valley angel square and easy avenue are set in ottawa in the 1940s and 50s spud sweetgrass represents ottawa in the early 1990s uncle ronald and covered bridgedraw on brian doyles childhood memories of the ottawa valleywriting in books for young people eva martin called doyle one of the most daring and experimental writers of youngadult novels he deals with the most sensitive of issuesrace violence antisocial activity of all sortswith a tongueincheek humor that never denigrates the human spirit writing in magpies agnes nieuwenhuizen concluded perhaps doyles most extraordinary feat is that there is never a sense of design or message or moralising what shines through his work is a breath of vision and tolerance and a quirky exuberance and curiosity even in the face of adversity and resistance many of doyles most popular early novels are collected in the 1999 anthology the low life
<http://dbpedia.org/resource/Steve_Davis_(trombonist)>,Steve Davis (trombonist),steve davis born worcester ma april 14 1967 is an american jazz trombonist who plays hard bop postbop and standards his primary influences are j j johnson curtis fuller slide hampton jackie mclean freddie hubbard dexter gordon miles davis hank jones cedar walton mccoy tyner and john coltranesteve davis was raised in binghamton new york where he grew up with jazz music being played in the household fathers record collection grandparents played the binghamton scene included many talented musicians including mentors doug beardsley music box jam sessions and al hamme suny binghamton as well as peers kris jensen tony kadleck tom dempsey dena derose john hollenbeck and many others he is married to the pianist mary di paoladavishe studied jazz under dr jackie mclean at the hartt school of the university of hartford in connecticut while in school davis also gained valuable experience sittingin and gigging on the hartford jazz scene with hartt professors hotep galeta and nat reeves and with don depalma larry dinatale and others at the 880 club legendary saxophonist jackie mclean founder of hartts africanamerican music program recommended steve to art blakey whose jazz messengers he joined at sweet basil in new york in december 1989 after blakeys death davis joined the hartt faculty in 1991 where he continues to teach today and taught at the artists collective in hartford steve gained further international recognition playing in his mentor mcleans sextet from 199297 and in chick coreas origin 19972001 davis has been a member of the acclaimed new yorkbased cooperative sextet one for all since its inception in 1996 along with davis the band features eric alexander jim rotondi david hazeltine john webber and joe farnsworth davis also currently plays with larry willis quintet the dizzy gillespie alumni allstar big bandseptet leads the steve davis quintet featuring saxophonist mike dirubbo and is a fixture on the new york and hartford jazz sceneshe has played and recorded with a long list of jazz greats including jackie mclean art blakey chick corea freddie hubbard and the new jazz composers octet benny golsons new jazztet one for all eric alexander jim rotondi david hazeltine john webber joe farnsworth hank jones cecil payne horace silver cedar walton harold mabern larry willis eddie henderson the dizzy gillespie alumni allstar big band featuring slide hampton james moody jimmy heath roy hargrove avishai cohen wynton marsalis and the lincoln center jazz orchestra and michael weiss among many others davis has appeared on over 100 recordings as a sideman and has recorded 15 albums as leader including the jaunt 1996 new terrain w explorers quintet 1997 vibe up 1998 portrait in sound 2000 systems blue 2001 meant to be 2003 alone together feat larry willis 2004 update featuring roy hargrove 2006 outlook 2008 eloquence featuring hank jones 2009 live at smalls 2010 and images 2010 steve has a few pieces for jazz sextet sheet music published by secondfloormusiccom steve plays on a vintage antoine courtois large bore trombone bought used in the 80s with a marcinkiewicz mouthpiece
<http://dbpedia.org/resource/Pete_Fowler>,Pete Fowler,pete fowler born 1969 in cardiff is a welsh artist best known for his artwork for the welsh band super furry animals and his monsterism toys and goods he is a freelance illustrator and monster creator inspired by animals music folklore myths psychedelia and super nature he has also worked on a number of other projects in the uk and japan such as television advertisements kia picanto as well as having art exhibitions in the uk and abroad fowler works in a variety of media including drawing painting animation printmaking and sculpturethe majority of fowlers art is made in a postmodern cartoon style and often revolves around a central narrative and features a recurring set of characters the monsters fowler creates all reside on monsterism island fowler invents extensive backstories for his characters each has its own specific traits and levels of monsterism fowler is most known for his designer toys of his characters which he himself manufactures with his own company a cd called the sounds of monsterism island was released in 2005 by heavenly records according to the press release the record is a compilation album that works as a soundtrack to the world of monsterismthe album features psychedelic music from the 60s through to today much of it unearthed and put on cd for the first time in 2006 fowler created a set of comics about monsterism island which have been featured in vice magazine the second soundtrack to monsterism island a psychedelic guide to monsterism island was released in 2009 and features mostly new compositions by a host of contemporary musicianspete is one half of the cosmic deckshoegaze seahawks who have released extensively on vinyl cd and download since 2010 and have remixed a variety of bands as well as regularly djingpetes solo exhibition the needle and the damage done took place at beach london in shoreditch in august 2013
<http://dbpedia.org/resource/Wayne_Rosing>,Wayne Rosing,wayne rosing born 1946 is an american engineering managerrosing was an engineering manager at digital equipment corporation dec and data general in the 1970she became a director of engineering at apple computer in 1980 there he led the apple lisa project the forerunner to the macintosh he then went on to work at sun microsystems in 1985 after managing hardware development for products such as the sparcstation he became manager of sun microsystems laboratories in 1990from 1992 through 1996 he headed the spinoff first person which developed the java platformhe was then chief technology officer at caere corporation which developed the optical character recognition product omnipagerosing served as vice president of engineering at google from january 2001 to may 2005in may 2005 he was appointed a senior fellow in mathematical and physical sciences at the university of california davis and continued to serve as an advisor to googleas a hobby throughout his career rosing built telescopes telescope control systems and ground telescope mirrors at davis rosing consulted on the large synoptic survey telescope projectin 2005 rosing founded las cumbres observatory global telescope network rosing was ceo and chief engineer at the firm the august 2007 edition of the sky at night covered rosing at las cumbresin 2010 he partially endowed a professor in theoretical astrophysics at the university of california santa barbara held by lars bildsten
<http://dbpedia.org/resource/Wilson_Casey>,Wilson Casey,wilson casey is an american columnist book author political humorist entertainer speaker and record holder he earned two guinness world records trivia marathon and radio broadcasting for a thirtyhour live continuous broadcast on radio station wkdyam on january 910 1999 in spartanburg south carolina during the 30 hours he asked and identified the correct answer to 3333 questions casey is regularly called and labeled the trivia guycasey was born in woodruff south carolina in 1954 he was elected into the woodruff high school athletic hall of fame for tennis in 1991 casey received a bs degree in education from the university of south carolina spartanburg now usc upstate in 1977 of which he was twice mvp on its varsity tennis team he was the first tennis scholarship player at the school though unofficially casey was awarded a workstudy grant with the unwritten understanding that hed play on the tennis team from 1984 1991 he played in the amateur usta tennis leagues and was a player on 7 state championship teams for the state of south carolina was on 3 sectional southern championship teams and went to 3 national championships las vegas nv tucson az and seabrook island sc he did this as a player with the bushwhackers a team from spartanburg sc at 4 different playing levels 35 40 45 and 50 of which he was twice team captainhis weekly bible trivia column appears in over 125 newspapers in the united states and is nationally distributed by king features syndicate and his 7dayaweek general trivia column has appeared in numerous others including the albuquerque nm journal the hendersonville nc timesnews the providence ri journal the santa rosa ca press democrat the spartanburg sc herald journal the tacoma wa news tribune and the wilmington nc starnews the general trivia column began in the spartanburg sc paper on september 16 2000 and is still running continuously 7xwk 365 daysyr casey has created over 4000 different trivia columns including daily and weekly versions that have appeared and are appearing in over 500 newspapers across north americacasey hosted the trivia fun radio program on wkdy am 1400 radio for six years in the late 1990s and early 2000s the program was consistently a top rated program in the spartanburg south carolina market during the 12 1 pm noon hour fielding hundreds of calls every day before that he was a regular triviaasking guest on wspaam 950 for sixteen years his radio career spanned 22 years of being an onair personality and he earned a guinness world record in radio broadcasting trivia marathoncasey has appeared as a celebrity contestant world record holders segment on the national nbctv game show the weakest link with hostess ann robinson he lasted 37 minutes until voted off by fellow contestants on the hourlong show that aired nationally for the first time on november 26 2002 it is still seen in reruns on gsn the gameshow network casey was guaranteed 10000 for appearing which nbctv would donate to his favorite charity he chose to have the entire amount donated to the christian life center for youth athletic programs at trinity united methodist church in spartanburg sc casey was also in a movie documentary 2009 as one of the worlds most unusual guinness record holders chumpchange productions chicago il he has twice been a featured guest on tvs your carolina with jack kimberlya national speaker he also emcees celebrity roasts hosts live standup trivia nights and is a political humorist entertainer for groupsthe state of south carolina general assembly has honored casey with a concurrent resolution he is also listed as a national figure from upstate south carolina
<http://dbpedia.org/resource/Robert_Horton_(actor)>,Robert Horton (actor),robert horton born meade howard horton jr on july 29 1924 in los angeles california is an american television actor who was most noted for the role from 1957 to 1962 of the frontier scout flint mccullough in the nbc western television series wagon train his costars were ward bond john mcintire terry wilson and frank mcgrath horton quit that series to pursue a career in musical theater his wagon train role was superseded by that of robert fuller as the scout cooper smith and thereafter the series moved to abcaccording to the april 20 1959 issue of time magazine hortons measurements were 423140horton played ronald w reagans role in the television version of kings row 1955 which featured jack kelly and ran for seven episodes as part of the warner bros presents series rotating with a television version of casablanca and cheyenne starring clint walker the first television western in a 60minute formatthe ruggedly handsome horton made dozens of appearances in movies and television shows between 1951 and 1989 including a small role in the film bright road starring dorothy dandridge an episode of ray millands cbs sitcom meet mr mcnutley and on the syndicated sheriff of cochise starring john bromfield horton played corporal tom vaughn in the 1956 episode false prophet of the religion anthology series crossroadshorton appeared on seven episodes of the anthology series alfred hitchcock presents including memorably as a tennisplaying bookie and blackmailer opposite betsy von furstenberg in the disappearing trick directed by arthur hiller he was cast as danny barnes in the episode no place to hide of the cbs anthology series the dupont show with june allyson and on the nbc interview program heres hollywood and nbcs anthology series the barbara stanwyck show he appeared several times also on nbcs the ford show starring tennessee ernie fordhorton is also remembered for his offbeat role as a cowboy amnesiac in his 19651966 abc television series a man called shenandoah horton even took a turn in daytime soap operas having played the part of whit mccoll from 1983 to 1984 on cbss as the world turns in 1966 he starred in the dangerous days of kiowa jones the first western made specifically for television and simultaneous distribution to cinemas in europe it was made by mgm and costarred sal mineo and diane bakerhe went on to perform for many years in theaters and nightclubs all over america and in australia as a singer sometimes with his wife the former marilynn bradley in 1963 producer david merrick hired him as the male lead in the musical version of n richard nashs play the rainmaker entitled 110 in the shade in the part played on the screen by burt lancaster the musical which boasted a score by tom jones writer and harvey schmidt ran for 330 performances on broadwayhorton is also an accomplished pilot and aircraft owner having once said in a plane and pilot interview his three greatest thrills were his first solo flight a performance before queen elizabeth ii and being featured on ralph edwards this is your life his frequent copilot was his french poodle jamiehorton has been the recipient of several lifetime achievement awards for television including the prestigious golden boot and recently the cowboy spirit award at the national festival of the west horton and his wife reside in the encino section of los angelesactor robert fuller is sometimes described as having replaced horton on wagon train though fuller did have a role on the program after horton departed according to an august 17 2009 interview with fuller in on screen and beyond he did not replace him the two are sometimes confused with each other because of a general physical resemblance and because they have the same birthday july 29 though horton is nine years older than fulleron july 29 2009 horton celebrated his 85th birthday according to his publicist he would no longer be making any personal appearances because he claimed he was growing tired of the traveling five years later on july 29 2014 horton celebrated his 90th birthday in honor of his nonagenarian birthday the presentation of the western legend award was bestowed to him
<http://dbpedia.org/resource/Roman_Polko>,Roman Polko,major general dr roman polko b november 8 1962 in tychy poland is a polish army officer acting chief of biuro bezpieczestwa narodowego bureau of national security former commander of jw grom doctor of military science studies speciality managementpolko graduated from thetadeusz kociuszko land forces military academy in wrocaw he served in a reconnaissance unit in dziwnw then in the 1st special commando regiment in lubliniec as commander of commando groups from 1992 until 1994 he took part in the unprofor peace mission in former yugoslaviain 1994 polko began to study at the national defence university in warsaw after that he served in the position of a senior operation officer in the czerwone berety red berets in krakw he also finished ranger school and pathfinder course in usa in 1998 polko became popular commander of the 18th landingassault battalion from bielskobiaa which was a part of the polish military contingent in the nato kfor forces in kosovo polko was assigned as commander of the polish contingentfrom may 26 2000 until february 11 2004 he was commander of the special forces unit grom he commanded the grom unit behind enemy lines in iraq during the operation iraqi freedomin 2006 colonel polko returned to active duty on february 23 again became commander of grom since march 2006 brigadier general genera brygady on september 7 2006 gen polko was nominated for the post of deputy chief of biuro bezpieczestwa narodowego bureau of national security in august 2007 he became acting chief of national security bureau because previous chief was nominated for the post of minister of internal affairs on august 15 2007 r polko was promoted to major general genera dywizjiactive sportsman taking part in marathons ski and parachute instructor master class
